area
'Telecomunicações' = 'Telecom.'
'Serviços Financeiros' = 'Serv. Financ.'
'Produtos de telefonia e informática' = 'Telef/Infor.'
'Produtos Eletrodomésticos e Eletrônicos' = 'Eletrônicos'
'Água, Energia, Gás' = 'Água/Ener./Gás'
'Demais Serviços ' = 'Outr. Serv.'
Turismo/Viagens = 'Turismo'
Transportes
'Demais Produtos' = 'Outr. Prod.'
Saúde
Alimentos
Habitação
Educação
